timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
0.000000,-523369,0.075,-0.0812,0.8882,8461.250,0.010000,0
0.066159,-523347,0.107,-0.0839,1.1248,8461.250,0.011250,0
0.179638,-523312,0.158,-0.0753,1.8653,8462.500,0.010000,0
0.259519,-523346,0.109,-0.0717,1.2824,8462.500,0.010000,0
0.411638,-523367,0.078,-0.0854,0.8200,8461.250,0.011250,0
0.522474,-523369,0.075,-0.0762,0.8882,8461.250,0.010000,0
0.601839,-523325,0.139,-0.0732,1.4601,8461.250,0.011250,0
0.666269,-523329,0.133,-0.0784,1.5740,8461.250,0.010000,0
0.777443,-523366,0.080,-0.0730,0.8352,8461.250,0.011250,0
0.857374,-523344,0.111,-0.0733,1.3168,8461.250,0.010000,0
0.921686,-523339,0.119,-0.0805,1.4024,8462.500,0.010000,0
1.014740,-523338,0.120,-0.0801,1.2618,8462.500,0.011250,0
1.118800,-523386,0.050,-0.0808,0.5967,8461.250,0.010000,33
1.192045,-523422,-0.002,-0.0848,-0.0235,8461.250,0.008750,33
1.303042,-523403,0.026,-0.0819,0.2441,8462.500,0.012500,33
1.382405,-523370,0.074,-0.0790,0.0112,8360.000,0.787500,33
1.447417,-523247,0.252,-0.1251,0.0446,8367.500,0.676250,33
1.572236,-521207,3.212,-0.3496,0.8271,8396.250,0.462500,33
1.652012,-516413,10.167,-0.3988,2.5909,8393.750,0.467500,33
1.726750,-514389,13.103,-0.2284,3.2952,8393.750,0.473750,33
1.847317,-514407,13.077,-0.1679,3.1810,8390.000,0.490000,33
1.925355,-514476,12.977,-0.1654,2.9821,8388.750,0.518750,33
2.014815,-514489,12.958,-0.1634,3.3295,8392.500,0.463750,33
2.092521,-514499,12.944,-0.1548,3.3447,8390.000,0.461250,33
2.201160,-514501,12.941,-0.1481,2.9868,8392.500,0.516250,33
2.278261,-514560,12.855,-0.1503,2.9747,8391.250,0.515000,33
2.387178,-514615,12.776,-0.1533,3.2649,8392.500,0.466250,33
2.464932,-514612,12.780,-0.1445,3.0928,8390.000,0.492500,33
2.572624,-514542,12.881,-0.1338,3.2575,8391.250,0.471250,33
2.649946,-514533,12.894,-0.1346,3.1379,8386.250,0.490000,33
2.757870,-514552,12.867,-0.1349,3.0529,8387.500,0.502500,33
2.835227,-514503,12.938,-0.1370,3.1882,8388.750,0.483750,33
2.942934,-514527,12.903,-0.1342,2.9931,8391.250,0.513750,33
3.020630,-514547,12.874,-0.1330,2.9513,8388.750,0.520000,33
3.130225,-514503,12.938,-0.1361,3.2830,8385.000,0.470000,33
3.207821,-514512,12.925,-0.1254,3.1048,8388.750,0.496250,33
3.316185,-514557,12.860,-0.1175,3.2786,8390.000,0.467500,33
3.393622,-514545,12.877,-0.1137,3.0495,8382.500,0.503750,33
3.502169,-514556,12.861,-0.1145,2.9706,8386.250,0.516250,33
3.581251,-514500,12.942,-0.1239,2.9136,8381.250,0.530000,33
3.688886,-514473,12.982,-0.1239,3.2091,8383.750,0.482500,33
3.769340,-514467,12.990,-0.1212,3.3406,8385.000,0.463750,33
3.878093,-514494,12.951,-0.1206,3.2451,8380.000,0.476250,33
3.955719,-514528,12.902,-0.1232,2.9265,8377.500,0.526250,33
4.064415,-514535,12.892,-0.1154,3.0463,8380.000,0.505000,33
