timestamp_s,thrust_raw,thrust_gf,torque_ncm,efficiency_gpw,voltage_mv,current_a,throttle_pct
0.000000,-534297,0.018,-0.1104,0.2199,8180.000,0.010000,0
0.089041,-534271,0.056,-0.1071,0.6054,8180.000,0.011250,0
0.165618,-534253,0.082,-0.1067,1.0005,8178.750,0.010000,0
0.282056,-534248,0.089,-0.1093,1.0888,8181.250,0.010000,0
0.360921,-534258,0.075,-0.1107,0.9118,8178.750,0.010000,0
0.438345,-534253,0.082,-0.1165,1.0003,8180.000,0.010000,0
0.553542,-534262,0.069,-0.1151,0.8407,8180.000,0.010000,0
0.631856,-534277,0.047,-0.1119,0.5746,8180.000,0.010000,0
0.748705,-534230,0.115,-0.1123,1.4082,8180.000,0.010000,0
0.824617,-534197,0.163,-0.1050,1.7718,8181.250,0.011250,0
0.900336,-534220,0.130,-0.1089,1.4094,8180.000,0.011250,0
1.016259,-534226,0.121,-0.1110,1.4790,8181.250,0.010000,0
1.119983,-534217,0.134,-0.1157,1.6386,8181.250,0.010000,33
1.199938,-534202,0.156,-0.1163,1.9051,8178.750,0.010000,33
1.276975,-534265,0.064,-0.1082,0.7000,8180.000,0.011250,33
1.393255,-534272,0.054,-0.1115,0.0062,7933.750,1.110000,33
1.469464,-534067,0.352,-0.0681,0.0167,7762.500,2.716250,33
1.560673,-531462,4.131,0.1421,0.2123,7751.250,2.510000,33
1.660841,-523677,15.426,0.2436,0.7904,7771.250,2.511250,33
1.749102,-517082,24.994,0.1736,1.2825,7783.750,2.503750,33
1.837309,-514524,28.705,0.1440,1.4096,7798.750,2.611250,33
1.923696,-513773,29.794,0.1462,1.4517,7796.250,2.632500,33
2.009582,-513588,30.063,0.1492,1.4741,7798.750,2.615000,33
2.125517,-513531,30.145,0.1404,1.5474,7796.250,2.498750,33
2.201108,-513507,30.180,0.1325,1.5298,7797.500,2.530000,33
2.318194,-513567,30.093,0.1400,1.5201,7790.000,2.541250,33
2.377743,-513649,29.974,0.1395,1.4752,7781.250,2.611250,33
2.493097,-513715,29.878,0.1355,1.5122,7775.000,2.541250,33
2.568512,-513858,29.671,0.1375,1.5014,7772.500,2.542500,33
2.684328,-513876,29.645,0.1297,1.5307,7773.750,2.491250,33
2.760078,-513875,29.646,0.1380,1.4765,7782.500,2.580000,33
2.835858,-513811,29.739,0.1397,1.4988,7777.500,2.551250,33
2.951168,-513766,29.804,0.1322,1.4810,7770.000,2.590000,33
3.027253,-513766,29.804,0.1245,1.4851,7760.000,2.586250,33
3.142080,-513716,29.877,0.1321,1.4873,7767.500,2.586250,33
3.217196,-513758,29.816,0.1413,1.5122,7758.750,2.541250,33
3.320604,-513890,29.625,0.1490,1.5425,7760.000,2.475000,33
3.391722,-513993,29.475,0.1400,1.5060,7762.500,2.521250,33
3.507656,-514010,29.450,0.1238,1.5326,7756.250,2.477500,33
3.584589,-513993,29.475,0.1173,1.5214,7761.250,2.496250,33
3.661385,-513982,29.491,0.1144,1.5370,7756.250,2.473750,33
3.778228,-514034,29.416,0.1063,1.5404,7758.750,2.461250,33
3.854879,-514091,29.333,0.1164,1.5022,7760.000,2.516250,33
3.969814,-514175,29.211,0.1245,1.5112,7786.250,2.482500,33
